,MktDate,Instrument,MachineTime,ExchangeTime,Bid,Bid1,Bid2,Bid3,Bid4,Ask,Ask1,Ask2,Ask3,Ask4,BidSize,BidSize1,BidSize2,BidSize3,BidSize4,AskSize,AskSize1,AskSize2,AskSize3,AskSize4,LastPrice,AccVolume,AccTurnOver,Volume,TurnOver,Pred,DATA_SOURCE,AS_OF_DATE
39986,20210125,OI0001,664671225909659256,664671226000000000,9811.0,9811.0,9810.0,9809.0,9808.0,9812.0,9814.0,9815.0,9816.0,9817.0,25,30,42,14,11,16,12,43,6,14,9811.0,116490,0.0,5.0,-11405848280.0,0.2596590000011929,EFH_SF,20210125
39987,20210125,OI0001,664671226159874327,664671226250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,26,92,25,22,64,19,12,18,41,10,9811.0,116490,11406338830.0,0.0,11406338830.0,0.017053999999916414,EsunnyL2,20210125
39989,20210125,OI0001,664671226410050265,664671226500000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,31,92,25,22,64,17,12,18,41,10,9811.0,116492,11406535050.0,0.0,11406535050.0,0.3806249999997817,EsunnyL2,20210125
39991,20210125,OI0001,664671226660263216,664671226750000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,31,92,25,22,64,17,12,18,41,10,9811.0,116492,11406535050.0,0.0,0.0,0.34326599999985774,EsunnyL2,20210125
39993,20210125,OI0001,664671226910274996,664671227000000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,32,92,25,22,64,17,12,18,41,10,9811.0,116492,11406535050.0,0.0,-361590.0,0.22491100000115694,EsunnyL2,20210125
39995,20210125,OI0001,664671227160487182,664671227250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,27,93,26,22,64,17,12,18,41,10,9811.0,116497,11407025600.0,0.0,11407025600.0,-0.24503600000025472,EsunnyL2,20210125
39996,20210125,OI0001,664671228161059528,664671228250000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,26,93,26,22,64,17,12,18,41,10,9811.0,116498,11407123710.0,0.0,11407123710.0,-0.09732799999983399,EsunnyL2,20210125
39999,20210125,OI0001,664671229661897908,664671229750000000,9811.0,9810.0,9809.0,9808.0,9807.0,9812.0,9813.0,9814.0,9815.0,9816.0,1,94,26,22,64,17,12,18,41,10,9811.0,116524,11409674570.0,0.0,11409674570.0,-0.4032119999992574,EsunnyL2,20210125
40000,20210125,OI0001,664671229911961067,664671230000000000,9810.0,9811.0,9810.0,9809.0,9808.0,9811.0,9815.0,9816.0,9817.0,9818.0,94,29,43,17,12,7,43,6,14,11,9811.0,116525,11410128000.0,1.0,453430.0,-0.2984680000008666,EFH_SF,20210125
40002,20210125,OI0001,664671230162232277,664671230250000000,9810.0,9809.0,9808.0,9807.0,9806.0,9811.0,9812.0,9813.0,9814.0,9815.0,94,26,22,67,37,8,17,12,18,41,9811.0,116525,11409772680.0,0.0,11409772680.0,-0.13978400000087277,EsunnyL2,20210125
