,DATETIME,LOG_TYPE,LOG_NAME,INSTRUMENT_ID,DIRECTION,LIMIT_PRICE,VOLUME,REF_ID,REM_ID,STATUS,FRONT_ID,SESSION_ID,ORDER_SYS_ID,STATUS_MSG,OF_FLAG,INSERT_TIME,ACTIVE_TIME,SUSPEND_TIME,UPDATE_TIME,CANCLE_TIME,LOCAL_ORDER_ACK_TIME,CURRENT_VOLUME,TRADED_VOLUME,TIME,TIME_IN_FORCE,SESSION,TYPE,MACHINE_TIMESTAMP_DATA,AS_OF_DATE
69,2021-01-22 21:00:12.855,ORDER_LOG,Remove from submit order map,OI105,SELL,9768.0,3,10013-1,0,LIVE,0,10060,ON210125QV00000078,"""2021012500083687""",4,0.0,6.646644128094015e+17,0.0,0.0,0.0,2021-01-22 21:00:12.854426,3,,2021-01-22 21:00:12.854434432,,1,1.0,,20210125
70,2021-01-22 21:00:12.855,ORDER_LOG,"successful insert, updating live order",OI105,SELL,9768.0,3,10013-1,0,LIVE,0,10060,ON210125QV00000078,"""2021012500083687""",4,0.0,6.646644128094015e+17,0.0,0.0,0.0,2021-01-22 21:00:12.854426,3,,,,1,1.0,,20210125
71,2021-01-22 21:00:12.880,ORDER_LOG,liveOrderMap update.,OI105,SELL,9768.0,3,10013-1,0,LIVE,0,10060,ON210125QV00000078,"""2021012500083687""",4,0.0,6.646644128094015e+17,0.0,0.0,0.0,2021-01-22 21:00:12.880397,1,1.0,,,1,1.0,,20210125
72,2021-01-22 21:00:12.880,ORDER_LOG,Removing from Live Order Map,OI105,SELL,9768.0,3,10013-1,0,DEAD,0,10060,ON210125QV00000078,"""2021012500083687""",4,0.0,6.646644128094015e+17,0.0,0.0,0.0,2021-01-22 21:00:12.880411,0,,,,1,1.0,,20210125
73,2021-01-22 21:00:12.880,ORDER_LOG,liveOrderMap update.,OI105,SELL,9768.0,3,10013-1,0,LIVE,0,10060,ON210125QV00000078,"""2021012500083687""",4,0.0,6.646644128094015e+17,0.0,0.0,0.0,2021-01-22 21:00:12.880362,2,1.0,,,1,1.0,,20210125
74,2021-01-22 21:00:13.559,ORDER_LOG,submitting order,OI105,BUY,9766.0,3,10014-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:13.559492096,GOOD_TILL_CANCEL,1,1.0,2021-01-22 21:00:13.559486080,20210125
75,2021-01-22 21:00:13.560,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9766.0,3,10014-1,0,LIVE,0,10060,ON210125QV00000082,"""2021012500084962""",1,0.0,6.646644135594921e+17,0.0,0.0,0.0,2021-01-22 21:00:13.560435,3,,,,1,1.0,,20210125
76,2021-01-22 21:00:13.560,ORDER_LOG,Remove from submit order map,OI105,BUY,9766.0,3,10014-1,0,LIVE,0,10060,ON210125QV00000082,"""2021012500084962""",1,0.0,6.646644135594921e+17,0.0,0.0,0.0,2021-01-22 21:00:13.560435,3,,2021-01-22 21:00:13.560441600,,1,1.0,,20210125
77,2021-01-22 21:00:13.811,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9766.0,3,10014-1,0,DEAD,0,10060,ON210125QV00000082,"""2021012500084962""",1,0.0,6.646644135594921e+17,0.0,0.0,0.0,2021-01-22 21:00:13.810829,0,,,,1,1.0,,20210125
78,2021-01-22 21:00:14.310,ORDER_LOG,submitting order,OI105,BUY,9766.0,3,10015-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:14.309833984,GOOD_TILL_CANCEL,1,1.0,2021-01-22 21:00:14.309828352,20210125
79,2021-01-22 21:00:14.312,ORDER_LOG,"successful insert, updating live order",OI105,BUY,9766.0,3,10015-1,0,LIVE,0,10060,ON210125QV00000085,"""2021012500086289""",1,0.0,6.64664414309834e+17,0.0,0.0,0.0,2021-01-22 21:00:14.312160,3,,,,1,1.0,,20210125
80,2021-01-22 21:00:14.312,ORDER_LOG,Remove from submit order map,OI105,BUY,9766.0,3,10015-1,0,LIVE,0,10060,ON210125QV00000085,"""2021012500086289""",1,0.0,6.64664414309834e+17,0.0,0.0,0.0,2021-01-22 21:00:14.312160,3,,2021-01-22 21:00:14.312166656,,1,1.0,,20210125
81,2021-01-22 21:00:14.383,ORDER_LOG,liveOrderMap update.,OI105,BUY,9766.0,3,10015-1,0,LIVE,0,10060,ON210125QV00000085,"""2021012500086289""",1,0.0,6.64664414309834e+17,0.0,0.0,0.0,2021-01-22 21:00:14.383108,2,1.0,,,1,1.0,,20210125
82,2021-01-22 21:00:14.399,ORDER_LOG,liveOrderMap update.,OI105,BUY,9766.0,3,10015-1,0,LIVE,0,10060,ON210125QV00000085,"""2021012500086289""",1,0.0,6.64664414309834e+17,0.0,0.0,0.0,2021-01-22 21:00:14.398887,1,1.0,,,1,1.0,,20210125
83,2021-01-22 21:00:14.403,ORDER_LOG,Removing from Live Order Map,OI105,BUY,9766.0,3,10015-1,0,DEAD,0,10060,ON210125QV00000085,"""2021012500086289""",1,0.0,6.64664414309834e+17,0.0,0.0,0.0,2021-01-22 21:00:14.402431,0,,,,1,1.0,,20210125
84,2021-01-22 21:00:14.428,ORDER_LOG,submitting order,OI105,BUY,9766.0,3,10016-1,0,,0,0,,,1,,,,,,,3,,2021-01-22 21:00:14.428320512,GOOD_TILL_CANCEL,1,5.0,2021-01-22 21:00:14.428313472,20210125
